date,close,Name
2018-01-25,104.58,IQV
2018-01-26,106.01,IQV
2018-01-29,105.58,IQV
2018-01-30,104.37,IQV
2018-01-31,NA,IQV
2018-02-01,104.12,IQV
2018-02-02,100.54,IQV
2018-02-05,96.75,IQV
2018-02-06,98.06,IQV
2018-02-07,98.21,IQV
2018-01-02,37.61,IRM
2018-01-03,37.1,IRM
2018-01-04,NA,IRM
2018-01-05,36.8,IRM
2018-01-08,NA,IRM
2018-01-09,36.83,IRM
2018-01-10,36.55,IRM
2018-01-11,NA,IRM
2018-01-12,36.22,IRM
2018-01-16,NA,IRM
2018-01-17,36.33,IRM
2018-01-18,35.3,IRM
2018-01-19,35.49,IRM
2018-01-22,35.81,IRM
2018-01-23,36.35,IRM
2018-01-24,35.77,IRM
2018-01-25,35.82,IRM
2018-01-26,35.76,IRM
2018-01-29,34.08,IRM
2018-01-30,NA,IRM
2018-01-31,35.03,IRM
2018-02-01,34.62,IRM
2018-02-02,33.66,IRM
2018-02-05,32.73,IRM
2018-02-06,33.11,IRM
2018-02-07,NA,IRM
2018-01-02,88.75,IR
2018-01-03,89.95,IR
2018-01-04,90.39,IR
2018-01-05,89.71,IR
2018-01-08,90.42,IR
2018-01-09,90.89,IR
2018-01-10,NA,IR
2018-01-11,NA,IR
2018-01-12,91.1,IR
2018-01-16,90.26,IR
2018-01-17,90.18,IR
2018-01-18,NA,IR
2018-01-19,90.93,IR
2018-01-22,NA,IR
2018-01-23,91.77,IR
2018-01-24,91.98,IR
2018-01-25,NA,IR
2018-01-26,93.82,IR
2018-01-29,93.87,IR
2018-01-30,92.53,IR
2018-01-31,94.63,IR
2018-02-01,NA,IR
2018-02-02,95.24,IR
2018-02-05,90.53,IR
2018-02-06,91.75,IR
2018-02-07,91.19,IR
2018-01-02,375.25,ISRG
2018-01-03,383.82,ISRG
2018-01-04,376.92,ISRG
2018-01-05,379.01,ISRG
2018-01-08,391.86,ISRG
2018-01-09,397.6,ISRG
2018-01-10,423.76,ISRG
2018-01-11,421.37,ISRG
2018-01-12,419.04,ISRG
2018-01-16,NA,ISRG
2018-01-17,431.1,ISRG
2018-01-18,432.07,ISRG
2018-01-19,433.23,ISRG
2018-01-22,433.94,ISRG
2018-01-23,439.55,ISRG
2018-01-24,NA,ISRG
2018-01-25,449.81,ISRG
2018-01-26,440.24,ISRG
2018-01-29,436.34,ISRG
2018-01-30,427.84,ISRG
2018-01-31,431.67,ISRG
2018-02-01,425.92,ISRG
2018-02-02,416.96,ISRG
